person_id,screening_date,first_offense_date,current_offense_date,p_current_age,p_age_first_offense,p_juv_fel_count,p_felprop_violarrest,p_murder_arrest,p_felassault_arrest,p_misdemassault_arrest,p_famviol_arrest,p_sex_arrest,p_weapons_arrest,Risk of Failure to Appear_decile_score,Risk of Failure to Appear_raw_score,Risk of Recidivism_decile_score,Risk of Recidivism_raw_score,Risk of Violence_decile_score,Risk of Violence_raw_score
64,2014-05-04,2014-03-03,2014-05-03,27,27,0,0,0,0,0,0,0,0,3,20,7,-0.06,2,-2.8
65,2014-06-19,2014-06-17,2014-06-17,27,27,0,0,0,0,0,0,0,0,1,14,1,-1.55,2,-2.9
66,2014-03-28,2008-07-02,2014-03-27,23,18,0,3,0,1,1,0,0,0,3,18,10,1.07,9,-0.77
67,2014-05-19,1998-11-17,2014-05-18,33,17,1,1,0,0,2,0,0,0,5,23,8,0.1,3,-2.54
68,2013-08-02,2013-08-02,2013-08-02,46,46,0,0,0,0,0,0,0,0,1,11,1,-2.43,1,-3.94
69,2014-12-26,2008-11-21,NA,32,26,0,0,0,0,0,0,0,0,2,17,3,-0.94,2,-2.64
70,2013-04-24,2013-04-23,2013-04-23,26,26,0,0,0,0,0,0,0,0,1,13,4,-0.59,3,-2.41
71,2013-06-03,2013-05-10,2013-05-10,26,26,0,0,0,0,0,0,0,0,1,12,2,-1.22,2,-2.86
72,2013-11-18,2013-11-17,2013-11-17,26,26,0,0,0,0,0,0,0,0,1,12,2,-1.45,2,-2.71
73,2014-10-05,2014-10-04,2014-10-04,49,49,0,0,0,0,0,0,0,0,4,21,2,-1.08,1,-3.21
74,2014-06-03,2014-06-03,2014-06-03,23,23,0,0,0,0,0,0,0,0,2,17,3,-0.98,3,-2.35
75,2013-05-02,1987-01-22,NA,46,19,0,0,0,0,0,0,0,0,4,21,6,-0.27,4,-2.13
76,2014-10-24,2013-01-04,2014-10-24,31,30,0,0,0,0,0,0,0,0,9,32,9,0.42,10,-0.45
77,2014-01-22,2005-03-01,NA,61,52,0,0,0,0,0,0,0,0,1,13,1,-2.51,1,-4.23
78,2014-11-03,2006-08-01,2014-11-02,29,21,0,0,0,0,0,0,0,0,3,18,6,-0.28,4,-2.21
79,2013-03-18,2002-10-26,2013-03-17,28,18,0,0,0,0,0,0,0,0,6,25,5,-0.43,7,-1.45
80,2013-09-18,2012-04-01,2013-09-17,21,20,0,0,0,0,0,0,0,0,1,12,4,-0.6,4,-2.04
81,2014-11-08,2014-11-07,2014-11-07,26,26,0,0,0,0,0,0,0,0,2,16,5,-0.46,3,-2.51
82,2014-07-30,2006-02-22,2014-07-29,30,22,0,0,0,0,0,0,0,0,1,15,8,0.09,2,-2.71
83,2013-01-20,2013-01-20,2013-01-20,27,27,0,0,0,0,0,0,0,0,1,15,7,-0.01,3,-2.36
84,2013-08-27,2002-12-02,2013-08-26,46,35,0,0,0,0,0,0,0,0,1,13,1,-2.05,1,-3.38
85,2013-05-28,1989-11-26,NA,50,26,0,0,0,0,0,0,0,0,2,16,5,-0.51,2,-2.93
86,2014-12-03,2014-12-02,2014-12-02,30,30,0,0,0,0,0,0,0,0,1,11,1,-1.84,1,-3.18
87,2013-02-11,2002-04-02,2013-02-10,32,21,0,0,0,0,0,0,0,0,1,14,3,-0.93,2,-2.94
88,2013-06-10,1984-07-02,NA,60,31,0,0,0,0,0,0,0,0,8,28,7,0.01,5,-1.91
89,2014-04-14,2002-12-22,2014-04-13,31,20,0,0,0,0,2,0,0,0,1,13,1,-1.84,1,-3.25
90,2014-08-30,2006-04-07,2014-08-29,25,17,1,0,0,1,1,0,0,1,3,20,10,0.69,9,-0.9
91,2013-02-04,1998-12-16,2013-02-03,35,21,0,0,0,0,2,0,0,0,2,16,2,-1.11,2,-2.7
92,2013-03-21,1986-04-25,2013-03-20,43,16,3,6,0,0,1,0,0,0,4,21,6,-0.17,3,-2.41
93,2013-11-16,2011-12-06,2013-11-15,20,18,0,0,0,0,1,0,0,0,1,13,4,-0.62,6,-1.61
94,2014-07-30,2014-07-30,2014-07-30,32,32,0,0,0,0,0,0,0,0,1,11,1,-1.88,1,-3.31
95,2013-03-14,2009-06-02,NA,18,15,0,0,0,0,0,0,0,0,3,20,10,0.84,9,-0.65
96,2013-01-26,2006-04-21,2013-01-24,26,19,0,0,0,0,0,0,0,0,5,23,9,0.44,5,-1.8
96,2013-08-25,2006-04-21,2013-08-25,27,19,0,0,0,2,0,0,0,0,6,24,8,0.16,6,-1.55
97,2013-01-08,2013-01-07,2013-01-07,58,58,0,0,0,0,0,0,0,0,1,12,1,-1.98,1,-3.88
98,2014-04-30,2005-12-17,2014-04-30,25,17,0,0,0,0,0,0,0,0,3,18,6,-0.25,3,-2.32
98,2014-11-10,2005-12-17,2014-11-09,26,17,0,0,0,1,1,0,0,0,2,17,5,-0.33,4,-2.04
99,2014-03-09,2014-03-08,2014-03-08,31,31,0,0,0,0,0,0,0,0,1,11,1,-1.88,1,-3.24
100,2013-09-28,2013-09-27,2013-09-27,53,53,0,0,0,0,0,0,0,0,1,13,1,-2.57,1,-4.15
101,2013-01-13,1996-09-15,2013-01-12,42,26,0,0,0,0,0,0,0,0,1,13,1,-2.08,1,-3.55
101,2014-02-02,1996-09-15,2014-02-01,43,26,0,1,0,0,0,0,0,0,3,18,1,-1.97,1,-3.62
102,2013-05-25,2012-08-05,2013-05-24,19,18,0,0,0,0,0,0,0,0,1,14,4,-0.52,6,-1.59
103,2014-11-08,2014-01-27,2014-11-07,29,28,0,0,0,0,0,0,0,0,1,14,3,-1.2,2,-2.62
104,2013-01-09,2013-01-09,2013-01-09,30,30,0,0,0,0,0,0,0,0,5,22,4,-0.56,4,-2.03
105,2013-03-07,2004-05-26,NA,36,27,0,0,0,0,0,0,0,0,2,16,4,-0.63,2,-2.87
106,2014-09-21,2005-03-18,2014-09-20,22,13,0,0,0,0,0,0,0,0,1,14,6,-0.22,4,-2.03
107,2013-01-07,2008-10-30,2013-01-07,26,22,0,0,0,0,0,0,0,0,2,16,6,-0.24,3,-2.36
107,2013-09-18,2008-10-30,2013-09-17,26,22,0,0,0,0,0,0,0,0,2,17,6,-0.26,3,-2.48
108,2014-12-03,2001-10-04,NA,25,12,0,0,0,0,0,0,0,0,3,18,6,-0.22,3,-2.31
109,2014-08-14,NA,NA,39,NA,0,0,0,0,0,0,0,0,5,23,2,-1.31,1,-2.98
110,2014-10-29,2013-12-08,NA,23,22,0,0,0,0,0,0,0,0,1,12,4,-0.96,2,-2.61
111,2013-07-17,2007-08-01,NA,37,31,0,0,0,0,0,0,0,0,3,18,2,-1.21,1,-3.27
112,2014-03-04,2012-12-19,NA,49,48,0,0,0,0,0,0,0,0,6,24,1,-1.59,1,-3.66
113,2013-08-25,2013-08-13,2013-08-24,19,19,0,0,0,0,0,0,0,0,1,11,3,-0.91,3,-2.38
114,2013-02-19,2013-02-18,2013-02-18,19,19,0,0,0,0,0,0,0,0,3,18,8,0.09,6,-1.56
115,2013-11-08,2011-04-28,2013-11-07,24,21,0,0,0,0,0,0,0,0,2,16,4,-0.98,3,-2.32
116,2014-07-21,2014-06-07,NA,25,25,0,0,0,0,0,0,0,0,3,19,7,-0.06,8,-1.2
116,2014-08-21,2014-06-07,NA,25,25,0,0,0,0,0,0,0,0,3,19,7,-0.06,8,-1.2
117,2014-04-08,2007-10-06,NA,57,50,0,0,0,0,0,0,0,0,1,15,1,-2.09,1,-4.2
118,2014-04-15,2008-09-26,NA,30,25,0,0,0,0,0,0,0,0,2,17,1,-1.64,3,-2.47
119,2013-03-04,2013-03-03,2013-03-03,29,29,0,0,0,0,0,0,0,0,4,21,2,-1.36,1,-3.05
120,2013-02-28,1995-11-14,NA,38,21,0,0,0,0,0,0,0,0,2,16,2,-1.02,2,-2.81
121,2014-04-26,2014-04-25,2014-04-25,48,48,0,0,0,0,0,0,0,0,1,12,1,-2.53,1,-4.05
122,2013-02-21,2005-09-09,2013-02-20,26,19,0,2,0,2,2,0,0,0,7,26,10,0.78,9,-0.74
122,2013-04-18,2005-09-09,2013-04-17,27,19,0,2,0,2,2,0,0,0,8,29,10,0.93,10,-0.56
122,2014-10-20,2005-09-09,NA,28,19,0,0,0,0,0,0,0,0,8,30,9,0.67,9,-0.8
123,2014-10-17,2010-07-27,NA,64,60,0,0,0,0,0,0,0,0,7,26,9,0.4,3,-2.52
124,2014-07-17,2011-01-27,2014-07-16,50,47,0,1,0,0,0,0,0,0,8,29,5,-0.46,1,-3.24
125,2013-08-30,NA,NA,33,NA,0,0,0,0,0,0,0,0,8,29,6,-0.21,5,-1.79
126,2014-06-24,2012-11-29,2014-06-17,20,18,0,0,0,0,0,0,0,0,2,16,6,-0.19,5,-1.78
127,2014-08-07,2014-08-04,2014-08-04,48,48,0,0,0,0,0,0,0,0,1,13,1,-1.64,2,-2.84
128,2013-04-20,2007-01-31,NA,22,16,1,0,0,0,0,0,0,0,6,24,10,0.73,10,-0.25
129,2014-11-09,NA,NA,43,NA,0,0,0,0,0,0,0,0,1,11,1,-2.33,1,-3.83
130,2013-10-03,2013-10-02,2013-10-02,18,18,0,0,0,0,0,0,0,0,1,11,5,-0.33,8,-1.21
131,2014-01-16,2012-01-25,2014-01-16,19,17,1,1,0,0,0,0,0,0,2,16,9,0.39,10,-0.57
132,2014-03-17,2011-12-22,NA,21,19,0,0,0,0,0,0,0,0,3,21,7,0.14,8,-1.25
133,2014-08-07,1986-06-09,NA,52,24,0,0,0,0,0,0,0,0,9,32,6,-0.22,5,-1.74
134,2014-03-26,2008-04-20,NA,38,32,0,0,0,0,0,0,0,0,2,16,5,-0.47,4,-1.99
135,2014-08-29,2009-01-10,NA,23,18,0,0,0,0,0,0,0,0,1,15,7,-0.07,6,-1.54
136,2013-03-30,2012-12-05,NA,32,32,0,0,0,0,0,0,0,0,1,14,2,-1.53,1,-2.95
137,2014-04-29,2000-11-14,2014-04-28,34,21,0,1,0,0,0,0,0,0,5,23,7,0.03,6,-1.54
138,2013-01-12,2010-03-13,2013-01-11,23,20,0,0,0,0,1,0,0,0,3,19,8,0.15,4,-2.15
139,2013-04-20,2013-03-13,2013-04-19,18,18,0,0,0,0,0,0,0,0,1,15,6,-0.21,6,-1.5
140,2013-11-02,NA,NA,25,NA,0,0,0,0,0,0,0,0,2,17,3,-1.28,3,-2.28
141,2014-12-16,2000-01-08,2014-12-15,29,14,0,0,0,1,1,0,0,1,2,16,5,-0.32,4,-1.98
142,2014-12-13,2009-08-23,2014-12-12,23,18,0,0,0,0,2,0,0,1,2,17,8,0.21,9,-0.91
143,2013-01-04,1990-09-28,NA,68,46,0,0,0,0,0,0,0,0,8,30,7,0.06,3,-2.51
144,2014-12-04,2011-10-13,2014-11-13,33,30,0,0,0,0,1,0,0,1,7,27,3,-0.92,2,-2.89
145,2013-11-14,2013-11-13,2013-11-13,18,18,0,0,0,0,0,0,0,0,2,16,7,-0.23,8,-1.22
146,2013-02-13,2009-06-25,2013-02-10,36,32,0,0,0,0,0,0,0,0,1,14,1,-1.53,1,-3.23
147,2013-11-06,2007-10-01,NA,64,58,0,0,0,0,0,0,0,0,1,14,1,-2.07,1,-3.95
148,2013-04-15,2013-04-14,2013-04-14,51,51,0,0,0,0,0,0,0,0,1,12,1,-2.36,1,-4.03
149,2013-04-12,NA,NA,25,NA,0,0,0,0,0,0,0,0,2,16,4,-0.54,5,-1.88
150,2013-08-20,2013-08-18,2013-08-18,42,42,0,0,0,0,0,0,0,0,1,12,1,-2.2,1,-3.71
151,2014-11-14,2014-11-04,2014-11-04,18,18,0,0,0,0,0,0,0,0,1,13,4,-0.72,7,-1.45
152,2014-02-28,2013-02-15,NA,22,21,0,0,0,0,0,0,0,0,1,13,2,-1.16,3,-2.25
153,2013-09-09,2008-04-25,2013-09-08,28,22,0,0,0,0,0,0,0,0,6,24,2,-1.09,2,-2.64
154,2013-09-05,2013-09-04,2013-09-04,36,36,0,0,0,0,0,0,0,0,2,16,1,-1.94,1,-3.41
155,2014-11-25,2004-10-23,2014-11-24,31,20,0,0,0,0,0,0,0,0,3,18,3,-1.25,1,-3.03
156,2013-04-11,2006-11-17,2013-04-11,21,15,0,6,0,0,0,0,0,1,5,23,6,-0.15,6,-1.52
157,2013-08-29,2013-08-28,2013-08-28,27,27,0,0,0,0,0,0,0,0,1,14,4,-0.66,2,-2.58
158,2014-02-21,2014-02-20,2014-02-20,29,29,0,0,0,0,0,0,0,0,5,23,5,-0.51,2,-2.68
159,2013-02-26,2010-04-14,2013-02-25,36,33,0,0,0,1,1,0,0,0,4,21,4,-0.96,3,-2.28
160,2014-12-04,1978-04-13,NA,57,21,0,0,0,0,0,0,0,0,8,29,9,0.54,4,-2.18
161,2014-05-08,2002-09-29,2014-05-08,33,21,0,0,0,0,0,0,0,0,5,22,6,-0.17,3,-2.4
162,2014-06-05,2014-06-04,2014-06-04,23,23,0,0,0,0,0,0,0,0,3,18,3,-1.11,4,-2.21
163,2013-08-15,2013-07-16,2013-07-16,40,40,0,0,0,0,0,0,0,0,5,23,1,-1.47,1,-3.34
164,2014-10-16,2009-03-17,2014-10-15,20,14,1,0,0,0,0,0,0,0,3,19,9,0.47,6,-1.68
165,2014-09-20,2014-09-19,2014-09-19,19,19,0,0,0,0,0,0,0,0,1,12,4,-0.82,4,-2.05
166,2013-03-02,2012-11-12,2013-03-01,18,18,0,2,0,0,0,0,0,0,1,15,9,0.43,6,-1.56
166,2013-03-26,2012-11-12,2013-03-26,18,18,0,3,0,0,0,0,0,0,2,16,10,0.64,8,-1.03
167,2014-06-06,2014-06-05,2014-06-05,25,25,0,0,0,0,0,0,0,0,1,15,7,-0.09,3,-2.46
168,2014-10-08,2014-10-07,2014-10-07,18,18,0,0,0,0,0,0,0,0,3,19,8,0.13,6,-1.54
169,2013-01-16,2010-02-27,2013-01-15,35,32,0,0,0,0,0,0,0,0,2,16,4,-0.55,3,-2.4
170,2013-02-25,2007-07-13,2013-02-23,24,18,0,1,0,0,0,0,0,0,3,19,9,0.52,4,-2.06
171,2013-02-15,2013-02-15,2013-02-15,30,30,0,0,0,0,0,0,0,0,2,16,5,-0.34,5,-1.9
172,2014-12-29,2008-11-25,2014-12-29,29,23,0,0,0,0,0,0,0,0,1,14,3,-0.89,3,-2.31
173,2013-11-17,2001-01-22,2013-11-16,31,18,0,0,0,0,0,0,0,0,1,14,5,-0.37,2,-2.63
174,2013-11-18,2013-01-16,2013-11-18,35,34,0,0,0,0,0,0,0,0,1,14,2,-1.31,1,-3.3
175,2013-03-16,2012-05-19,2013-03-15,38,38,0,0,0,0,1,0,0,0,1,13,2,-1.04,2,-2.85
175,2013-03-19,2012-05-19,2013-03-17,38,38,0,0,0,1,1,0,0,0,2,16,3,-0.86,2,-2.7
176,2013-09-06,1992-09-25,2013-09-06,38,17,0,4,0,2,0,0,0,0,6,24,9,0.53,7,-1.36
177,2013-11-13,2012-08-02,2013-11-12,20,19,0,0,0,0,0,0,0,0,1,13,4,-0.58,7,-1.49
178,2014-01-11,1998-08-02,2014-01-10,31,16,0,0,0,0,0,0,0,0,7,27,8,0.28,5,-1.88
179,2014-11-03,2014-10-31,2014-10-31,43,43,0,0,0,0,0,0,0,0,2,16,1,-2.04,1,-3.43
180,2013-10-14,2007-11-01,2013-10-13,29,23,0,0,0,0,0,0,0,0,6,25,7,-0.03,8,-1.2
181,2014-02-20,2008-04-26,2014-02-20,24,18,0,1,0,1,0,0,0,0,2,16,8,0.25,7,-1.32
182,2013-10-29,2013-01-21,2013-10-28,28,27,0,0,0,0,0,0,0,0,1,14,2,-1.52,2,-2.85
183,2013-02-26,2003-07-25,2013-02-09,27,18,0,1,0,6,2,0,0,0,4,21,10,0.71,7,-1.45
184,2014-11-15,2007-04-10,2014-11-14,25,18,0,0,0,0,0,0,0,0,5,22,9,0.34,4,-2.12
185,2014-09-11,2010-05-28,2014-09-10,29,25,0,0,0,0,0,0,0,0,1,13,2,-1.31,2,-2.77
186,2014-06-06,2001-07-21,2014-06-05,45,32,0,0,0,0,0,0,0,0,3,18,1,-1.45,1,-3.38
187,2013-12-06,1985-08-20,NA,53,25,0,0,0,0,0,0,0,0,9,32,9,0.43,3,-2.4
188,2014-09-29,2013-03-24,NA,32,30,0,0,0,0,0,0,0,0,4,21,8,0.3,8,-1.21
189,2013-07-29,2002-08-20,2013-07-27,50,39,0,0,0,0,0,0,0,0,7,26,9,0.39,6,-1.73
190,2013-12-29,2001-04-14,2013-12-08,31,18,0,2,0,0,1,0,0,0,5,23,10,1.08,7,-1.44
191,2014-07-21,2014-07-20,2014-07-20,60,60,0,0,0,0,0,0,0,0,9,31,4,-0.53,1,-3.1
192,2014-03-31,2013-06-17,NA,62,61,0,0,0,0,0,0,0,0,1,12,1,-2.36,1,-4.36
193,2014-08-12,2012-01-30,NA,20,18,0,0,0,0,0,0,0,0,1,13,6,-0.25,8,-1.22
194,2013-09-17,1993-06-18,2013-09-12,39,19,0,1,0,0,0,0,0,0,4,21,3,-0.86,1,-3.39
195,2013-12-23,2013-07-20,NA,22,22,0,0,0,0,0,0,0,0,5,22,4,-0.82,5,-1.83
196,2014-05-29,2014-05-28,2014-05-28,25,25,0,0,0,0,0,0,0,0,1,13,1,-1.39,2,-2.62
197,2013-11-19,2013-10-30,2013-10-30,28,28,0,0,0,0,0,0,0,0,2,17,2,-1.26,2,-2.7
198,2014-02-17,NA,NA,21,NA,0,0,0,0,0,0,0,0,1,11,2,-1.1,3,-2.24
199,2013-08-29,2012-12-16,NA,26,25,0,0,0,0,0,0,0,0,1,11,1,-1.39,2,-2.7
200,2013-12-30,2011-06-11,NA,35,32,0,0,0,0,0,0,0,0,1,15,2,-1.32,1,-3.35
201,2014-07-07,2014-03-28,2014-07-06,19,19,0,0,0,0,0,0,0,0,1,11,5,-0.51,6,-1.67
202,2014-12-19,2014-12-18,2014-12-18,26,26,0,0,0,0,0,0,0,0,1,11,2,-1.11,3,-2.5
203,2014-02-07,2014-02-06,2014-02-06,22,22,0,0,0,0,0,0,0,0,1,11,2,-1.45,3,-2.49
204,2014-03-19,1997-12-30,NA,35,18,0,0,0,0,0,0,0,0,5,22,8,0.13,7,-1.49
205,2013-10-22,2013-10-21,2013-10-21,20,20,0,0,0,0,0,0,0,0,1,15,9,0.57,8,-1
206,2014-11-19,2004-04-30,2014-11-18,27,17,0,0,0,0,0,0,0,0,1,13,4,-0.86,2,-2.66
207,2014-04-26,2014-04-25,2014-04-25,23,23,0,0,0,0,0,0,0,0,1,13,3,-1.04,3,-2.31
208,2014-01-27,2003-03-09,2014-01-26,42,31,0,0,0,0,2,0,0,0,2,17,2,-1.14,1,-2.95
209,2014-04-04,2004-02-01,NA,28,18,0,0,0,0,0,0,0,0,1,14,5,-0.77,5,-1.91
210,2013-01-02,2012-04-25,2013-01-01,28,28,0,0,0,0,2,0,0,0,6,25,7,-0.06,3,-2.51
211,2014-05-25,2001-09-30,2014-05-24,51,38,0,0,0,0,0,0,0,0,1,15,4,-0.73,1,-3.51
212,2014-11-29,2014-03-03,2014-11-29,33,32,0,0,0,0,0,0,0,0,2,17,2,-1.2,1,-3.32
213,2013-09-05,2012-12-09,2013-08-20,28,28,0,0,0,0,1,0,0,0,1,12,3,-1,3,-2.54
214,2013-07-31,2007-04-29,NA,24,18,0,0,0,0,0,0,0,0,9,31,10,1.04,10,-0.38
215,2013-01-17,2007-09-01,2013-01-16,27,22,0,0,0,1,0,0,0,0,1,14,2,-1.28,3,-2.29
