"","person_id","p_age","cq_fail_appear_two_yr","cq_fail_appear_two_plus","p_yrs5_felcount_person","p_misdem_count_5yrs","p_violence_raw","p_drug_count_5yrs","p_yrs5_trafcount_person","p_prison_visits","p_jail_visits","cq_prior_conviction_F","cq_prior_conviction_M","corrected_age"
"149",215,31,0,0,0,0,-2.29,0,1,0,1,1,0,-3.24156064981629
"150",216,59,0,0,0,1,-3.38,1,2,0,3,0,0,-4.30987802699733
"151",217,28,2,0,5,12,-1.04,3,5,2,6,6,17,-2.99851080608639
"152",222,43,0,0,0,0,-3.71,0,1,0,1,0,0,-3.81192139521026
"153",223,38,0,0,1,1,-1.98,1,0,4,5,7,NA,-3.62490872751422
"154",224,32,0,0,1,4,-1.86,3,1,1,3,12,3,-3.3098706823087
"155",225,33,2,0,0,2,-2.65,0,13,0,5,0,5,-3.37280700280018
"156",228,33,0,0,4,7,-0.83,9,0,0,3,4,6,-3.37280700280018
"157",228,33,0,0,4,7,-0.83,9,0,0,3,4,6,-3.37280700280018
"158",229,27,0,0,0,1,-1.03,1,0,3,5,0,1,-2.90268300233775
"159",230,52,0,0,0,0,-3.99,0,0,0,1,0,0,-4.097159274214
"160",233,25,0,0,3,7,-0.31,0,0,0,2,1,2,-2.68471687541311
"161",234,61,0,0,0,0,-3.76,0,1,0,1,0,0,-4.36518856135077
"162",235,52,0,0,7,7,-1.73,2,1,1,10,4,8,-4.097159274214
"163",239,29,0,0,2,0,-1.99,0,3,0,1,0,0,-3.08649754893093
"164",241,26,1,0,0,2,-2.17,0,4,0,1,0,2,-2.79832457595651
"165",244,30,0,0,3,2,-2.06,0,0,1,4,3,1,-3.16730370279879
"166",245,30,0,0,0,0,-1.19,0,0,0,2,0,2,-3.16730370279879
"167",246,48,0,0,0,0,-3.29,0,3,1,1,1,2,-3.97276929519505
"168",250,41,0,0,0,0,-1.98,0,0,8,1,6,2,-3.74202860324325
"169",253,31,0,0,0,0,-2.89,0,10,0,1,0,0,-3.24156064981629
"170",254,25,0,0,0,1,-2.28,0,0,0,2,0,1,-2.68471687541311
"171",255,31,0,0,1,4,-2.61,2,0,0,1,0,3,-3.24156064981629
"172",258,32,0,0,4,1,-2.5,0,3,0,1,2,2,-3.3098706823087
"173",259,52,0,0,1,2,-3.98,0,5,0,3,1,0,-4.097159274214
"174",260,62,0,0,1,0,-3.07,1,3,0,1,4,4,-4.39087167597654
"175",261,30,0,0,1,3,-1.99,0,0,1,2,0,1,-3.16730370279879
"176",265,28,0,0,0,2,-1.53,0,4,1,2,0,1,-2.99851080608639
"177",266,54,0,0,0,2,-3.6,0,1,0,1,0,2,-4.15917570494393
"178",267,58,0,0,0,4,-3.28,0,0,0,2,0,3,-4.28076232088287
"179",268,78,0,0,0,1,-4.32,0,5,0,1,0,1,-4.27733493929552
"180",269,56,NA,NA,0,0,-3.69,0,3,0,1,0,0,-4.22067114130344
"181",271,24,0,0,0,0,-2.21,0,2,0,1,0,0,-2.56111215937688
"182",274,35,0,0,0,0,-3.15,0,1,0,1,0,0,-3.48470586887167
"183",275,22,0,0,0,1,-1.75,0,2,0,2,0,1,-2.28077526649795
"184",277,47,0,0,8,3,-3.2,1,0,7,6,14,11,-3.94143541655095
"185",277,47,0,0,8,3,-3.23,1,0,7,6,14,11,-3.94143541655095
"186",278,23,0,0,0,0,-2.16,0,2,0,2,0,0,-2.4267335967161
"187",279,57,0,0,0,0,-3.93,0,0,0,1,0,1,-4.25096564821695
"188",281,66,0,0,0,1,-2.98,0,1,0,1,0,1,-4.47312893460215
"189",282,45,0,0,1,5,-2.31,2,1,0,5,1,15,-3.87783145295103
"190",282,45,0,0,1,5,-2.31,2,1,0,5,1,15,-3.87783145295103
"191",282,45,0,0,1,5,-2.31,2,1,0,5,1,15,-3.87783145295103
"192",282,45,0,0,1,5,-2.31,2,1,0,5,1,15,-3.87783145295103
"193",282,45,0,0,1,5,-2.23,2,1,0,5,1,15,-3.87783145295103
"194",282,45,0,0,1,5,-2.23,2,1,0,5,1,15,-3.87783145295103
"195",282,45,0,0,1,5,-2.23,2,1,0,5,1,15,-3.87783145295103
"196",282,45,0,0,1,5,-2.23,2,1,0,5,1,15,-3.87783145295103
"197",282,45,0,0,1,5,-2.31,2,1,0,5,1,15,-3.87783145295103
"198",282,45,0,0,1,5,-2.31,2,1,0,5,1,15,-3.87783145295103
"199",282,45,0,0,1,5,-2.31,2,1,0,5,1,15,-3.87783145295103
"200",282,45,0,0,1,5,-2.31,2,1,0,5,1,15,-3.87783145295103
"201",282,45,0,0,1,5,-2.23,2,1,0,5,1,15,-3.87783145295103
"202",282,45,0,0,1,5,-2.23,2,1,0,5,1,15,-3.87783145295103
"203",282,45,0,0,1,5,-2.23,2,1,0,5,1,15,-3.87783145295103
"204",282,45,0,0,1,5,-2.23,2,1,0,5,1,15,-3.87783145295103
"205",286,32,0,0,1,0,-1.48,1,1,2,1,4,9,-3.3098706823087
"206",287,37,0,0,2,4,-1.09,2,0,0,4,2,2,-3.58126107220255
"207",287,37,0,0,2,4,-1.13,2,0,0,4,2,2,-3.58126107220255
"208",288,39,0,0,0,0,-1.98,0,0,0,2,0,0,-3.66601100014733
"209",289,26,0,0,4,10,-1.25,9,0,1,5,3,7,-2.79832457595651
"210",291,45,0,0,0,1,-2.13,0,1,0,1,2,1,-3.87783145295103
"211",292,57,0,0,0,1,-3.06,0,0,0,2,4,NA,-4.25096564821695
"212",294,34,0,0,0,2,-2.98,0,3,0,2,0,2,-3.43091372401383
"213",295,38,0,0,3,9,-1.19,1,0,7,6,8,15,-3.62490872751422
"214",297,23,0,0,2,0,-2.04,0,0,0,1,0,0,-2.4267335967161
"215",298,36,0,0,0,0,-3,0,0,0,2,1,3,-3.53466937049462
"216",299,50,0,0,2,0,-3.93,0,0,0,2,3,0,-4.03503967470601
"217",300,37,0,0,0,0,-3.39,0,5,0,1,0,0,-3.58126107220255
"218",301,44,0,0,0,7,-2.2,0,3,0,1,0,6,-3.84525856717818
"219",302,35,0,0,4,15,-0.67,0,2,3,1,8,12,-3.48470586887167
"220",304,24,3,0,2,3,-2.09,1,1,0,3,1,1,-2.56111215937688
"221",306,26,3,0,1,1,-1.14,0,2,0,5,0,1,-2.79832457595651
"222",307,37,0,0,0,0,-2.77,0,0,0,1,0,0,-3.58126107220255
"223",309,31,0,0,0,1,-2.83,0,0,0,1,0,0,-3.24156064981629
"224",313,28,0,0,4,5,-1.73,0,3,1,4,3,5,-2.99851080608639
"225",314,38,0,0,0,0,-3.17,0,2,0,1,0,0,-3.62490872751422
"226",315,38,0,0,0,1,-3.26,0,3,0,2,0,2,-3.62490872751422
"227",317,28,2,0,1,0,-1.38,0,12,0,2,0,0,-2.99851080608639
"228",318,21,0,0,2,0,-1.2,0,0,1,3,2,0,-2.12240215798853
"229",319,56,0,0,0,0,-4.11,0,0,0,1,1,6,-4.22067114130344
"230",320,38,0,0,4,3,-2.41,1,1,3,1,11,NA,-3.62490872751422
"231",326,51,0,0,0,0,-4.05,0,2,0,3,0,0,-4.06610443758341
"232",328,20,0,0,0,0,-1.41,0,1,0,1,0,0,-1.95075017065288
"233",329,36,0,0,1,0,-3.33,0,1,0,3,1,0,-3.53466937049462
"234",330,48,0,0,0,0,-3.83,0,3,0,1,0,0,-3.97276929519505
"235",332,30,0,0,2,1,-2.06,0,2,0,2,2,1,-3.16730370279879
"236",333,41,0,0,2,0,-2.25,2,0,0,1,0,2,-3.74202860324325
"237",334,27,0,0,8,8,-0.65,0,5,0,1,3,10,-2.90268300233775
"238",335,37,0,0,0,0,-3.29,0,1,0,2,0,0,-3.58126107220255
"239",336,33,0,0,0,2,-2.68,0,9,0,1,0,2,-3.37280700280018
"240",337,54,NA,NA,1,8,-0.83,0,1,3,1,4,10,-4.15917570494393
"241",338,23,0,0,2,0,-1.8,0,0,0,1,2,0,-2.4267335967161
"242",339,22,0,0,0,0,-1.88,0,5,0,1,0,0,-2.28077526649795
"243",342,23,1,0,0,1,-1.53,1,6,0,2,0,3,-2.4267335967161
"244",347,43,0,0,16,8,-2.95,0,1,1,2,13,8,-3.81192139521026
"245",350,30,0,0,3,7,-2.04,3,0,3,2,5,NA,-3.16730370279879
"246",351,28,0,0,0,0,-2.28,0,0,0,1,0,2,-2.99851080608639
"247",353,34,0,0,0,0,-3.04,0,1,0,1,0,0,-3.43091372401383
"248",355,30,NA,NA,1,7,-2.77,4,4,0,1,0,2,-3.16730370279879
"249",356,25,1,0,0,6,-2.2,3,13,0,1,0,1,-2.68471687541311
"250",357,31,0,0,0,1,-1.96,0,0,0,2,0,1,-3.24156064981629
"251",358,37,0,0,0,0,-3.02,0,0,0,3,0,0,-3.58126107220255
"252",359,32,0,0,6,9,-1.06,4,2,0,2,4,12,-3.3098706823087
"253",361,53,0,0,0,0,-3.92,0,0,0,1,1,4,-4.12819559110034
"254",363,44,1,0,1,8,-2.33,0,2,0,4,1,5,-3.84525856717818
"255",365,30,0,0,0,0,-3.06,0,4,0,1,0,0,-3.16730370279879
"256",366,22,0,0,0,1,-1.45,0,1,0,2,0,1,-2.28077526649795
"257",369,37,0,0,0,0,-3.44,0,2,0,1,0,0,-3.58126107220255
"258",370,33,0,0,0,0,-3.17,0,5,0,1,0,0,-3.37280700280018
"259",371,47,0,0,0,0,-2.99,0,0,0,1,0,0,-3.94143541655095
"260",372,40,0,0,0,4,-3.07,1,7,0,1,0,1,-3.7049374640185
"261",374,36,0,0,1,2,-0.78,0,2,0,5,1,1,-3.53466937049462
"262",379,31,0,0,0,0,-2.88,0,2,0,1,0,0,-3.24156064981629
"263",381,23,0,0,0,1,-2,0,4,0,2,0,1,-2.4267335967161
"264",381,23,0,0,0,1,-1.84,0,4,0,2,0,1,-2.4267335967161
"265",382,23,0,1,3,8,-1.37,3,8,0,2,3,7,-2.4267335967161
"266",384,29,0,0,0,2,-2.36,1,0,0,1,0,1,-3.08649754893093
"267",385,20,0,0,3,1,-1.41,2,0,0,4,1,1,-1.95075017065288
"268",385,20,0,0,3,1,-1.47,2,0,0,4,1,1,-1.95075017065288
"269",386,30,1,0,0,1,-1.84,0,4,1,3,0,1,-3.16730370279879
"270",387,39,0,0,0,1,-3.2,0,4,0,1,0,0,-3.66601100014733
"271",394,31,0,0,0,0,-2.44,0,2,0,1,0,0,-3.24156064981629
"272",395,27,0,0,0,1,-1.97,0,0,1,1,3,NA,-2.90268300233775
"273",398,22,0,0,0,0,-1.56,0,3,0,2,0,0,-2.28077526649795
"274",401,20,0,0,1,0,-0.39,0,0,1,4,1,0,-1.95075017065288
"275",402,48,0,0,0,0,-2.49,0,0,0,1,0,0,-3.97276929519505
"276",406,30,0,0,1,1,-1.57,2,4,0,2,2,9,-3.16730370279879
"277",407,22,2,0,1,9,-1.27,3,9,0,7,1,7,-2.28077526649795
"278",407,22,2,0,1,9,-1.08,3,9,0,7,1,7,-2.28077526649795
"279",408,22,0,0,0,1,-2.22,0,2,0,1,0,1,-2.28077526649795
"280",411,41,0,0,0,0,-3.12,0,0,0,1,1,1,-3.74202860324325
"281",412,35,0,0,1,3,-1.22,2,0,1,2,4,3,-3.48470586887167
"282",416,52,NA,NA,1,9,-2.68,2,6,0,2,1,7,-4.097159274214
"283",416,52,NA,NA,1,9,-2.58,2,6,0,2,1,7,-4.097159274214
"284",418,37,0,0,0,1,-3.17,0,2,0,2,0,1,-3.58126107220255
"285",420,47,0,0,0,0,-2.98,0,3,0,1,0,1,-3.94143541655095
"286",427,58,0,0,1,0,-2.58,0,0,0,1,5,2,-4.28076232088287
"287",430,26,0,0,0,2,-1.59,2,1,1,2,0,0,-2.79832457595651
"288",432,34,0,0,3,4,-2.11,2,11,0,1,1,3,-3.43091372401383
"289",435,34,0,0,1,1,-2.09,0,4,0,1,0,3,-3.43091372401383
"290",436,32,0,0,0,2,-2.41,0,1,0,2,0,1,-3.3098706823087
"291",438,34,2,2,5,9,-2.59,9,9,0,5,5,NA,-3.43091372401383
"292",438,34,2,2,5,9,-2.6,9,9,0,5,5,NA,-3.43091372401383
"293",440,39,10,0,1,10,-3.17,3,16,0,5,1,8,-3.66601100014733
"294",440,39,10,0,1,10,-2.97,3,16,0,5,1,8,-3.66601100014733
"295",445,58,0,0,0,0,-3.84,0,2,0,1,2,0,-4.28076232088287
"296",448,56,0,0,1,0,-2.32,0,0,2,1,9,5,-4.22067114130344
"297",448,56,0,0,1,0,-2.32,0,0,2,1,9,5,-4.22067114130344
"298",448,56,0,0,1,0,-2.32,0,0,2,1,9,5,-4.22067114130344
"299",448,56,0,0,1,0,-2.32,0,0,2,1,9,5,-4.22067114130344
"300",448,56,0,0,1,0,-2.32,0,0,2,1,9,5,-4.22067114130344
"301",448,56,0,0,1,0,-2.32,0,0,2,1,9,5,-4.22067114130344
"302",448,56,0,0,1,0,-2.32,0,0,2,1,9,5,-4.22067114130344
"303",448,56,0,0,1,0,-2.32,0,0,2,1,9,5,-4.22067114130344
"304",448,56,0,0,1,0,-2.32,0,0,2,1,9,5,-4.22067114130344
"305",448,56,0,0,1,0,-2.32,0,0,2,1,9,5,-4.22067114130344
"306",448,56,0,0,1,0,-2.32,0,0,2,1,9,5,-4.22067114130344
"307",448,56,0,0,1,0,-2.32,0,0,2,1,9,5,-4.22067114130344
"308",448,56,0,0,1,0,-2.32,0,0,2,1,9,5,-4.22067114130344
"309",448,56,0,0,1,0,-2.32,0,0,2,1,9,5,-4.22067114130344
"310",448,56,0,0,1,0,-2.32,0,0,2,1,9,5,-4.22067114130344
"311",448,56,0,0,1,0,-2.32,0,0,2,1,9,5,-4.22067114130344
"312",449,27,NA,NA,0,2,-2.46,0,0,0,2,0,1,-2.90268300233775
"313",451,23,0,0,2,2,-1.8,2,0,0,6,2,2,-2.4267335967161
"314",455,57,0,0,1,1,-3.3,0,1,0,1,1,2,-4.25096564821695
"315",456,37,0,0,2,8,-3.15,2,4,0,4,0,7,-3.58126107220255
"316",457,43,0,0,1,1,-3.41,0,0,0,1,0,1,-3.81192139521026
"317",459,32,0,0,0,1,-3.27,0,5,0,1,0,3,-3.3098706823087
"318",464,28,0,0,0,1,-2.52,0,1,0,2,0,2,-2.99851080608639
"319",465,42,0,0,0,0,-2.99,0,1,0,2,0,0,-3.77759581213605
"320",467,24,3,0,2,11,-0.43,1,7,0,6,1,NA,-2.56111215937688
"321",468,27,0,0,0,0,-2.44,0,1,0,1,0,0,-2.90268300233775
"322",471,24,3,0,0,1,-1.17,0,1,0,4,0,1,-2.56111215937688
"323",472,31,0,0,0,3,-0.75,0,3,2,3,3,3,-3.24156064981629
"324",473,22,0,0,0,1,-1.31,0,0,1,2,0,1,-2.28077526649795
"325",483,24,0,0,0,0,-2.41,0,1,0,1,0,0,-2.56111215937688
"326",484,27,0,0,6,1,-2.31,0,1,0,3,6,0,-2.90268300233775
"327",485,24,0,0,0,2,-0.77,0,2,1,6,0,NA,-2.56111215937688
"328",486,22,0,0,0,0,-2.18,0,1,0,1,0,0,-2.28077526649795
"329",487,53,0,0,7,30,-0.93,0,7,1,13,12,32,-4.12819559110034
"330",488,36,0,0,0,1,-3.16,0,0,0,1,0,0,-3.53466937049462
"331",489,28,0,0,0,2,-2.08,1,10,0,4,0,1,-2.99851080608639
"332",492,21,1,0,0,1,-1.83,1,0,0,1,0,1,-2.12240215798853
